Country,Density(P/Km2),Urban population,Population,Armed Forces,GDP,Minimum wage,Labor force participation(%),Unemployment rate,Tax revenue(%),Total tax rate,CPI,CPI Change(%),Doctors/1000,Self-paid Health,Birth Rate,Fertility Rate,Life expectancy,Infant mortality,Maternal mortality ratio,Co2-Emissions,Land Area(Km2),Forested Area(%),Agricultural Land(%),Gasoline Price,Primary educ. enr.(%),Tertiary educ. enr.(%)
Kazakhstan,7.0,10652915.0,18513930.0,71000.0,180161741180.0,0.41,68.8,4.59,11.7,28.4,182.75,5.2,3.25,38.8,21.77,2.84,73.2,8.8,10.0,247207.0,2724900.0,1.2,80.4,0.42,104.4,61.7
Kenya,94.0,14461523.0,52573973.0,29000.0,95503088538.0,0.25,74.7,2.64,15.1,37.2,180.51,4.7,0.16,33.4,28.75,3.49,66.3,30.6,342.0,17910.0,580367.0,7.8,48.5,0.95,103.2,11.5
Kuwait,240.0,4207083.0,4207083.0,25000.0,134761198946.0,0.95,73.5,2.18,1.4,13.0,126.6,1.1,2.58,14.4,13.94,2.08,75.4,6.7,12.0,98734.0,17818.0,0.4,8.4,0.35,92.4,54.4
Kyrgyzstan,34.0,2362644.0,6456900.0,21000.0,8454619608.0,0.09,59.8,6.33,18.0,29.0,155.68,1.1,1.88,48.2,27.1,3.3,71.4,16.9,60.0,9787.0,199951.0,3.3,55.0,0.56,107.6,41.3
Laos,32.0,2555552.0,7169455.0,129000.0,18173839128.0,0.83,78.5,0.63,12.9,24.1,135.87,3.3,0.37,45.4,23.55,2.67,67.6,37.6,185.0,17763.0,236800.0,82.1,10.3,0.93,102.4,15.0
Latvia,30.0,1304943.0,1912789.0,6000.0,34117202555.0,2.8,61.4,6.52,22.9,38.1,116.86,2.8,3.19,41.6,10.0,1.6,74.7,3.3,19.0,7004.0,64589.0,54.0,31.1,1.16,99.4,88.1
Lebanon,667.0,6084994.0,6855713.0,80000.0,53367042272.0,2.15,47.0,6.23,15.3,32.2,130.02,3.0,2.1,32.1,17.55,2.09,78.9,6.4,29.0,24796.0,10400.0,13.4,64.3,0.74,95.1,26.3
Lesotho,71.0,607508.0,2125268.0,2000.0,2460072444.0,0.41,67.9,23.41,31.6,13.6,155.86,5.2,0.07,16.9,26.81,3.14,53.7,65.7,544.0,2512.0,30355.0,1.6,77.6,0.7,120.9,10.2
Liberia,53.0,2548426.0,4937374.0,2000.0,3070518100.0,0.17,76.3,2.81,12.9,46.2,223.13,23.6,0.04,19.6,33.04,4.32,63.7,53.5,661.0,1386.0,111369.0,43.1,28.0,0.8,85.1,11.9
Lithuania,43.0,1891013.0,2786844.0,34000.0,54219315600.0,2.41,61.6,6.35,16.9,42.6,118.38,2.3,6.35,32.1,10.0,1.63,75.7,3.3,8.0,12963.0,65300.0,34.8,47.2,1.16,103.9,72.4
Luxembourg,242.0,565488.0,645397.0,2000.0,71104919108.0,13.05,59.3,5.36,26.5,20.4,115.09,1.7,3.01,10.6,10.3,1.37,82.1,1.9,5.0,8988.0,2586.0,35.7,53.7,1.19,102.3,19.2
Madagascar,48.0,10210849.0,26969307.0,22000.0,14083906357.0,0.21,86.1,1.76,10.2,38.3,184.33,5.6,0.18,21.7,32.66,4.08,66.7,38.2,335.0,3905.0,587041.0,21.4,71.2,1.11,142.5,5.4
Malawi,203.0,3199301.0,18628747.0,15000.0,7666704427.0,0.12,76.7,5.65,17.3,34.5,418.34,9.4,0.04,11.0,34.12,4.21,63.8,35.3,349.0,1298.0,118484.0,33.2,61.4,1.15,142.5,0.8
Malaysia,99.0,24475766.0,32447385.0,136000.0,364701517788.0,0.93,64.3,3.32,12.0,38.7,121.46,0.7,1.51,36.7,16.75,2.0,76.0,6.7,29.0,248289.0,329847.0,67.6,26.3,0.45,105.3,45.1
Mali,17.0,8479688.0,19658031.0,18000.0,17510141171.0,0.23,70.8,7.22,11.6,54.5,108.73,-1.7,0.13,46.3,41.54,5.88,58.9,62.0,562.0,3179.0,1240192.0,3.8,33.8,1.12,75.6,4.5
