Country,Density(P/Km2),Urban population,Population,Armed Forces,GDP,Minimum wage,Labor force participation(%),Unemployment rate,Tax revenue(%),Total tax rate,CPI,CPI Change(%),Doctors/1000,Self-paid Health,Birth Rate,Fertility Rate,Life expectancy,Infant mortality,Maternal mortality ratio,Co2-Emissions,Land Area(Km2),Forested Area(%),Agricultural Land(%),Gasoline Price,Primary educ. enr.(%),Tertiary educ. enr.(%)
Saudi Arabia,16.0,28807838.0,34268528.0,252000.0,792966838162.0,3.85,55.9,5.93,8.9,15.7,118.4,-1.2,2.61,15.0,17.8,2.32,75.0,6.0,17.0,563449.0,2149690.0,0.5,80.8,0.24,99.8,68.0
Senegal,87.0,7765706.0,16296364.0,19000.0,23578084052.0,0.31,45.7,6.6,16.3,44.8,109.25,1.8,0.07,44.2,34.52,4.63,67.7,31.8,315.0,10902.0,196722.0,42.8,46.1,1.14,81.0,12.8
Serbia,100.0,3907243.0,6944975.0,32000.0,51409167351.0,1.57,54.9,12.69,18.6,36.6,144.0,1.8,3.11,40.6,9.2,1.49,75.5,4.8,12.0,45221.0,77474.0,31.1,39.3,1.16,100.3,67.2
Sierra Leone,111.0,3319366.0,7813215.0,9000.0,3941474311.0,0.57,57.9,4.43,8.6,30.7,234.16,14.8,0.03,38.2,33.41,4.26,54.3,78.5,1120.0,1093.0,71740.0,43.1,54.7,1.08,112.8,2.0
Slovakia,114.0,2930419.0,5454073.0,16000.0,105422304976.0,3.11,59.5,5.56,18.7,49.7,115.34,2.7,3.42,18.4,10.6,1.52,77.2,4.6,5.0,32424.0,49035.0,40.4,39.2,1.32,98.7,46.6
Slovenia,103.0,1144654.0,2087946.0,7000.0,53742159517.0,5.25,58.4,4.2,18.6,31.0,111.05,1.6,3.09,12.5,9.4,1.6,81.0,1.7,7.0,12633.0,20273.0,62.0,30.7,1.32,100.4,78.6
South Korea,527.0,42106719.0,51709098.0,634000.0,2029000000000.0,6.49,63.0,4.15,15.6,33.2,115.16,0.4,2.36,36.8,6.4,0.98,82.6,2.7,11.0,620302.0,99720.0,63.4,17.4,1.22,98.1,94.3
Spain,94.0,37927409.0,47076781.0,196000.0,1394116310769.0,5.6,57.5,13.96,14.2,47.0,110.96,0.7,3.87,24.2,7.9,1.26,83.3,2.5,4.0,244002.0,505370.0,36.9,52.6,1.26,102.7,88.9
Sri Lanka,341.0,4052088.0,21803000.0,317000.0,84008783756.0,0.35,53.9,4.2,11.9,55.2,155.53,3.5,1.0,38.4,15.83,2.2,76.8,6.4,36.0,23362.0,65610.0,32.9,43.7,0.88,100.2,19.6
Sudan,25.0,14957233.0,42813238.0,124000.0,18902284476.0,0.41,48.4,16.53,8.0,45.4,1344.19,51.0,0.26,63.2,32.18,4.41,65.1,42.1,295.0,20000.0,1861484.0,8.1,28.7,0.95,76.8,16.9
Syria,95.0,9358019.0,17070135.0,239000.0,40405006007.0,1.02,44.1,8.37,14.2,42.7,143.2,36.7,1.22,53.7,23.69,2.81,71.8,14.0,31.0,28830.0,185180.0,2.7,75.8,0.83,81.7,40.1
Tajikistan,68.0,2545477.0,9321018.0,17000.0,8116626794.0,0.23,42.0,11.02,9.8,67.3,148.57,6.0,1.7,63.1,30.76,3.59,70.9,30.4,17.0,5310.0,144100.0,3.0,34.1,0.71,100.9,31.3
Tanzania,67.0,20011885.0,58005463.0,28000.0,63177068175.0,0.09,83.4,1.98,11.5,43.8,187.43,3.5,0.01,26.1,36.7,4.89,65.0,37.6,524.0,11973.0,947300.0,51.6,44.8,0.87,94.2,4.0
Thailand,137.0,35294600.0,69625582.0,455000.0,543649976166.0,1.06,67.3,0.75,14.9,29.5,113.27,0.7,0.81,11.8,10.34,1.53,76.9,7.8,37.0,283763.0,513120.0,32.2,43.3,0.71,99.8,49.3
East Timor,89.0,400182.0,3500000.0,2000.0,1673540300.0,0.6,67.3,4.55,25.0,17.3,145.38,2.6,0.72,10.2,29.42,4.02,69.3,39.3,142.0,495.0,14874.0,45.4,25.6,1.1,115.3,17.8
Togo,152.0,3414638.0,8082366.0,10000.0,5459979417.0,0.34,77.6,2.04,16.9,48.2,113.3,0.7,0.08,51.0,33.11,4.32,60.8,47.4,396.0,3000.0,56785.0,3.1,70.2,0.71,123.8,14.5
Trinidad and Tobago,273.0,741944.0,1394973.0,4000.0,24100202834.0,2.25,60.0,2.69,19.5,40.5,141.75,1.0,4.17,37.3,12.94,1.73,73.4,16.4,67.0,43868.0,5128.0,46.0,10.5,0.54,106.2,12.0
Tunisia,76.0,8099061.0,11694719.0,48000.0,38797709924.0,0.47,46.1,16.02,21.1,60.7,155.33,6.7,1.3,39.8,17.56,2.2,76.5,14.6,43.0,29937.0,163610.0,6.8,64.8,0.73,115.4,31.7
Turkey,110.0,63097818.0,83429615.0,512000.0,754411708203.0,3.45,52.8,13.49,17.9,42.3,234.44,15.2,1.85,16.9,16.03,2.07,77.4,9.1,17.0,372725.0,783562.0,15.4,49.8,1.42,93.2,23.9
Uganda,229.0,10784516.0,44269594.0,46000.0,34387229486.0,0.01,70.3,1.84,11.7,33.7,173.87,2.9,0.17,40.5,38.14,4.96,63.0,33.8,375.0,5680.0,241038.0,9.7,71.9,0.94,102.7,4.8
Ukraine,75.0,30835699.0,44385155.0,297000.0,153781069118.0,0.84,54.2,8.88,20.1,45.2,281.66,7.9,2.99,47.8,8.7,1.3,71.6,7.5,19.0,202250.0,603550.0,16.7,71.7,0.83,99.0,82.7
United Kingdom,281.0,55908316.0,66834405.0,148000.0,2827113184696.0,10.13,62.8,3.85,25.5,30.6,119.62,1.7,2.81,14.8,11.0,1.68,81.3,3.6,7.0,379025.0,243610.0,13.1,71.7,1.46,101.2,60.0
United States,36.0,270663028.0,328239523.0,1359000.0,21427700000000.0,7.25,62.0,14.7,9.6,36.6,117.24,7.5,2.61,11.1,11.6,1.73,78.5,5.6,19.0,5006302.0,9833517.0,33.9,44.4,0.71,101.8,88.2
Uruguay,20.0,3303394.0,3461734.0,22000.0,56045912952.0,1.66,64.0,8.73,20.1,41.8,202.92,7.9,5.05,16.2,13.86,1.97,77.8,6.4,17.0,6766.0,176215.0,10.7,82.6,1.5,108.5,63.1
Vietnam,314.0,35332140.0,96462106.0,522000.0,261921244843.0,0.73,77.4,2.01,19.1,37.6,163.52,2.8,0.82,43.5,16.75,2.05,75.3,16.5,43.0,192668.0,331210.0,48.1,39.3,0.8,110.6,28.5
Zambia,25.0,7871713.0,17861030.0,16000.0,23064722446.0,0.24,74.6,11.43,16.2,15.6,212.31,9.2,1.19,27.5,36.19,4.63,63.5,40.4,213.0,5141.0,752618.0,65.2,32.1,1.4,98.7,4.1
