Country,Density(P/Km2),Armed Forces,GDP,Labor force participation(%),Unemployment rate,Total tax rate,CPI,Self-paid Health,Birth Rate,Forested Area(%),Agricultural Land(%),Primary educ. enr.(%)
The Gambia,239.0,1000.0,1763819048.0,59.4,9.06,48.4,172.73,20.3,38.54,48.4,59.8,98.0
Georgia,57.0,26000.0,17743195770.0,68.3,14.4,9.9,133.61,57.3,13.47,40.6,34.5,98.6
Germany,240.0,180000.0,3845630030824.0,60.8,3.04,48.8,112.85,12.5,9.5,32.7,47.7,104.0
Ghana,137.0,16000.0,66983634224.0,67.8,4.33,55.4,268.36,36.1,29.41,41.2,69.0,104.8
Greece,81.0,146000.0,209852761469.0,51.8,17.24,51.9,101.87,35.5,8.1,31.7,47.6,99.6
Guatemala,167.0,43000.0,76710385880.0,62.3,2.46,35.2,142.92,55.8,24.56,32.7,36.0,101.9
Guinea,53.0,13000.0,13590281809.0,61.5,4.3,69.3,262.95,54.5,36.36,25.8,59.0,91.5
Guinea-Bissau,70.0,4000.0,1340389411.0,72.0,2.47,45.5,111.65,37.2,35.13,69.8,58.0,118.7
Guyana,4.0,3000.0,4280443645.0,56.2,11.85,30.6,116.19,40.5,19.97,83.9,8.6,97.8
Haiti,414.0,0.0,8498981821.0,67.2,13.78,42.7,179.29,36.3,24.35,3.5,66.8,113.6
Honduras,89.0,23000.0,25095395475.0,68.8,5.39,39.1,150.34,49.1,21.6,40.0,28.9,91.5
Hungary,107.0,40000.0,160967157504.0,56.5,3.4,37.9,121.64,29.0,9.6,22.9,58.4,100.8
Iceland,3.0,0.0,24188035739.0,75.0,2.84,31.9,129.0,17.0,12.0,0.5,18.7,100.4
India,464.0,3031000.0,2611000000000.0,49.3,5.36,49.7,180.44,65.1,17.86,23.8,60.4,113.0
Indonesia,151.0,676000.0,1119190780753.0,67.5,4.69,30.1,151.18,48.3,18.07,49.9,31.5,106.4
Iran,52.0,563000.0,445345282123.0,44.7,11.38,44.7,550.93,39.7,18.78,6.6,28.2,110.7
Iraq,93.0,209000.0,234094042939.0,43.0,12.82,30.8,119.86,76.5,29.08,1.9,21.4,108.7
Republic of Ireland,72.0,9000.0,388698711348.0,62.1,4.93,26.1,106.58,15.2,12.5,11.0,64.5,100.9
Israel,400.0,178000.0,395098666122.0,64.0,3.86,25.3,108.15,24.4,20.8,7.7,24.6,104.9
Italy,206.0,347000.0,2001244392042.0,49.6,9.89,59.1,110.62,22.8,7.3,31.8,43.2,101.9
Jamaica,273.0,4000.0,16458071068.0,66.0,8.0,35.1,162.47,23.7,16.1,30.9,41.0,91.0
Japan,347.0,261000.0,5081769542380.0,61.7,2.29,46.7,105.48,13.1,7.4,68.5,12.3,98.8
Jordan,115.0,116000.0,43743661972.0,39.3,14.72,28.6,125.6,25.1,21.98,1.1,12.0,81.5
Kazakhstan,7.0,71000.0,180161741180.0,68.8,4.59,28.4,182.75,38.8,21.77,1.2,80.4,104.4
Kenya,94.0,29000.0,95503088538.0,74.7,2.64,37.2,180.51,33.4,28.75,7.8,48.5,103.2
Kuwait,240.0,25000.0,134761198946.0,73.5,2.18,13.0,126.6,14.4,13.94,0.4,8.4,92.4
Kyrgyzstan,34.0,21000.0,8454619608.0,59.8,6.33,29.0,155.68,48.2,27.1,3.3,55.0,107.6
Laos,32.0,129000.0,18173839128.0,78.5,0.63,24.1,135.87,45.4,23.55,82.1,10.3,102.4
Latvia,30.0,6000.0,34117202555.0,61.4,6.52,38.1,116.86,41.6,10.0,54.0,31.1,99.4
Lebanon,667.0,80000.0,53367042272.0,47.0,6.23,32.2,130.02,32.1,17.55,13.4,64.3,95.1
Lesotho,71.0,2000.0,2460072444.0,67.9,23.41,13.6,155.86,16.9,26.81,1.6,77.6,120.9
Liberia,53.0,2000.0,3070518100.0,76.3,2.81,46.2,223.13,19.6,33.04,43.1,28.0,85.1
Libya,4.0,0.0,52076250948.0,49.7,18.56,32.6,125.71,36.7,18.83,0.1,8.7,109.0
